Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
Love Story 2050,2008,180,"Action, Adventure, Drama",2.6,2334,Harry Baweja,Harman Baweja,Priyanka Chopra Jonas,Boman Irani,https://www.imdb.com/find?q=Love%20Story%202050
Love Trainning,2018,129,Comedy,5.8,12,Hemanth Kumar,Shakti Kapoor,Akhilendra Mishra,Usha Nadkarni,https://www.imdb.com/find?q=Love%20Trainning
Love U... Mr. Kalakaar!,2011,152,"Drama, Romance",5.3,426,S. Manasvi,Tusshar Kapoor,Amrita Rao,Ram Kapoor,https://www.imdb.com/find?q=Love%20U...%20Mr.%20Kalakaar!
Love Will Take Over,2018,140,"Comedy, Drama, Music",3.0,2092,Abhiraj Minawala,Sammy Jonas Heaney,Aayush Sharma,Warina Hussain,https://www.imdb.com/find?q=Love%20Will%20Take%20Over
Love You to Death,2012,102,"Comedy, Thriller",5.3,7,Rafeeq Ellias,Sohrab Ardeshir,Abhro Banerjee,Kallol Banerjee,https://www.imdb.com/find?q=Love%20You%20to%20Death
Lovefucked,2018,106,"Drama, Romance",6.0,365,Aadish Keluskar,Himanshu Kohli,Rohit Kokate,Khushboo Upadhyay,https://www.imdb.com/find?q=Lovefucked
LoveShhuda,2016,133,"Comedy, Romance",4.5,552,Vaibhav Misra,Girish Taurani,Navneet Kaur Dhillon,Tisca Chopra,https://www.imdb.com/find?q=LoveShhuda
"Lovesongs: Yesterday, Today & Tomorrow",2008,91,Drama,5.1,42,Jayabrato Chatterjee,Jaya Bachchan,Om Puri,Mallika Sarabhai,"https://www.imdb.com/find?q=Lovesongs:%20Yesterday,%20Today%20&%20Tomorrow"
"LSD: Love, Sex Aur Dhokha",2010,155,"Comedy, Crime, Drama",7.1,5376,Dibakar Banerjee,Nushrat Bharucha,Anshuman Jha,Neha Chauhan,"https://www.imdb.com/find?q=LSD:%20Love,%20Sex%20Aur%20Dhokha"
Lucifer,2019,175,"Action, Crime, Drama",7.5,8210,Prithviraj Sukumaran,Mohanlal,Vivek Oberoi,Manju Warrier,https://www.imdb.com/find?q=Lucifer
Luck,2009,141,"Action, Adventure, Drama",4.8,2513,Soham Shah,Mithun Chakraborty,Sanjay Dutt,Imran Khan,https://www.imdb.com/find?q=Luck
Luck by Chance,2009,156,Drama,7.1,9678,Zoya Akhtar,Farhan Akhtar,Konkona Sen Sharma,Rishi Kapoor,https://www.imdb.com/find?q=Luck%20by%20Chance
Luckhnowi Ishq,2015,127,Drama,7.1,23,Aanand Raut,Adhyayan Suman,Karishma Kotak,Mukesh Khanna,https://www.imdb.com/find?q=Luckhnowi%20Ishq
Lucknow Central,2017,133,"Action, Crime, Drama",6.2,2690,Ranjit Tewari,Farhan Akhtar,Diana Penty,Inaamulhaq,https://www.imdb.com/find?q=Lucknow%20Central
Lucky Kabootar,2014,117,Comedy,5.1,75,Shammi Chhabra,Arvinder Bhatti,Shraddha Das,Rimple Dhindsa,https://www.imdb.com/find?q=Lucky%20Kabootar
Lucky: No Time for Love,2005,180,"Musical, Drama, Romance",4.7,3457,Radhika Rao,Vinay Sapru,Salman Khan,Sneha Ullal,https://www.imdb.com/find?q=Lucky:%20No%20Time%20for%20Love
Ludo,2020,149,"Action, Comedy, Crime",7.6,32403,Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao,https://www.imdb.com/find?q=Ludo
Luka Chuppi,2019,126,"Comedy, Romance",6.3,8808,Laxman Utekar,Kartik Aaryan,Kriti Sanon,Aparshakti Khurana,https://www.imdb.com/find?q=Luka%20Chuppi
Lupt,2018,110,"Horror, Thriller",5.6,2027,Prabhuraj,Javed Jaffrey,Niki Walia,Vijay Raaz,https://www.imdb.com/find?q=Lupt
Lust Stories,2018,120,"Drama, Romance",6.4,10011,Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap,https://www.imdb.com/find?q=Lust%20Stories
Luv Ka the End,2011,106,"Comedy, Drama",4.8,1434,Bumpy,Shraddha Kapoor,Taha Shah Badussha,Errol Peter Marks,https://www.imdb.com/find?q=Luv%20Ka%20the%20End
Luv Shuv Pyar Vyar,2017,180,Romance,4.7,31,Pardeep Raja,Gaurav Ajay Kaura,Dolly Chawla,Kunal Sharma,https://www.imdb.com/find?q=Luv%20Shuv%20Pyar%20Vyar
Luv Shuv Tey Chicken Khurana,2012,140,Comedy,6.6,3690,Sameer Sharma,Kunal Kapoor,Huma Qureshi,Vinod Nagpal,https://www.imdb.com/find?q=Luv%20Shuv%20Tey%20Chicken%20Khurana
Luv U Alia,2015,130,"Family, Romance",5.3,81,Indrajit Lankesh,V. Ravichandran,Chandan Kumar,Sudeep,https://www.imdb.com/find?q=Luv%20U%20Alia
Luv U Soniyo,2012,144,"Comedy, Romance",5.5,67,Joe Rajan,Tanuj Virwani,Neha Hinge,Bunty Grewal,https://www.imdb.com/find?q=Luv%20U%20Soniyo
LuvUTurn,2019,124,Romance,6.2,8,Harish Raut,Ruslaan Mumtaz,Adhvik Mahajan,Purva Rana,https://www.imdb.com/find?q=LuvUTurn
M Cream,2014,112,"Adventure, Comedy, Drama",5.6,611,Agneya Singh,Aban Raza,Tom Alter,Raaghavv Chanana,https://www.imdb.com/find?q=M%20Cream
M.... Matric Pass,2014,118,"Drama, Romance",3.9,14,Suresh Jain,Seema Dogra,Paras Sharma,Sushma Sharma,https://www.imdb.com/find?q=M....%20Matric%20Pass
M.A.D: Mad About Dance,2014,125,"Drama, Musical",5.1,110,Saahil Prem,Saahil Prem,Amy Maghera,Salah Benlemqawanssa,https://www.imdb.com/find?q=M.A.D:%20Mad%20About%20Dance
M.S. Dhoni: The Untold Story,2016,184,"Biography, Drama, Sport",7.9,43713,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,https://www.imdb.com/find?q=M.S.%20Dhoni:%20The%20Untold%20Story
Ma Beta,1962,138,"Comedy, Crime, Drama",5.0,14,Lekhraj Bhakri,Manoj Kumar,Ameeta,Vijay Dutt,https://www.imdb.com/find?q=Ma%20Beta
Maa,1992,145,"Drama, Fantasy",5.9,103,Ajay Kashyap,Jeetendra,Jaya Prada,Aruna Irani,https://www.imdb.com/find?q=Maa
Maa,1957,120,"Drama, Romance",7.2,12,Bimal Roy,Bharat Bhushan,Leela Chitnis,Kusum Deshpande,https://www.imdb.com/find?q=Maa
Maa,1976,137,"Drama, Family",6.5,88,M.A. Thirumugham,Dharmendra,Hema Malini,Nirupa Roy,https://www.imdb.com/find?q=Maa
Maa Aur Mamta,1970,148,Drama,7.5,22,Asit Sen,Nutan,Ashok Kumar,Nirupa Roy,https://www.imdb.com/find?q=Maa%20Aur%20Mamta
Maa Baap,1960,130,"Family, Romance",6.6,14,V.M. Vyas,Rajendra Kumar,Kamini Kadam,Pran,https://www.imdb.com/find?q=Maa%20Baap
Maa Beti,1986,151,Drama,5.1,19,Kalpataru,Shashi Kapoor,Meenakshi Sheshadri,Sharmila Tagore,https://www.imdb.com/find?q=Maa%20Beti
Maa Kasam,1985,137,Action,4.4,28,Shibu Mitra,Mithun Chakraborty,Divya Rana,Ranjeet,https://www.imdb.com/find?q=Maa%20Kasam
Maa Kasam,1999,132,Action,4.6,23,Ashok Gaekwad,Kasam Ali,Vikas Anand,Arjun,https://www.imdb.com/find?q=Maa%20Kasam
Maa Tujhhe Salaam,2002,162,"Action, Drama",3.5,1145,Tinnu Verma,Sunny Deol,Tabu,Arbaaz Khan,https://www.imdb.com/find?q=Maa%20Tujhhe%20Salaam
Maachis,1996,160,"Action, Crime, Drama",7.8,2079,Gulzar,Om Puri,Tabu,Chandrachur Singh,https://www.imdb.com/find?q=Maachis
Maain Bhi Ladki Hun,1964,152,Drama,7.0,26,A.C. Trilogchander,Meena Kumari,Dharmendra,S.V. Ranga Rao,https://www.imdb.com/find?q=Maain%20Bhi%20Ladki%20Hun
Maal Road Dilli,2018,145,Comedy,5.7,10,Atul Sriva,Rhythm Arora,Manveer Choudhary,Neha Kargeti,https://www.imdb.com/find?q=Maal%20Road%20Dilli
Maan Abhiman,1980,113,"Drama, Family",5.4,15,Hiren Nag,Raj Kiran,Kavita Kiran,Yunus Parvez,https://www.imdb.com/find?q=Maan%20Abhiman
Maan Gaye Mughall-E-Azam,2008,137,"Comedy, Crime, Drama",3.1,491,Sanjay Chhel,Mallika Sherawat,Rahul Bose,Paresh Rawal,https://www.imdb.com/find?q=Maan%20Gaye%20Mughall-E-Azam
Maan Maryada,1984,139,Action,3.7,13,R.P. Swamy,Naseeruddin Shah,Rameshwari,Deepak Parashar,https://www.imdb.com/find?q=Maan%20Maryada
Maanthrikam,1995,144,"Action, Comedy, Drama",6.3,224,Thampi Kannanthanam,Mohanlal,Jagadish,Priya Raman,https://www.imdb.com/find?q=Maanthrikam
Maassab (The Teacher),2018,116,Drama,8.6,155,Aditya Om,Shiva Suryavanshi,Sheetal Singh,Manveer Choudhary,https://www.imdb.com/find?q=Maassab%20(The%20Teacher)
Maati Maangey Khoon,1984,128,"Action, Thriller",5.4,17,Raj Khosla,Shatrughan Sinha,Rekha,Raj Babbar,https://www.imdb.com/find?q=Maati%20Maangey%20Khoon
Maatr,2017,113,Thriller,4.5,399,Ashtar Sayed,Raveena Tandon,Madhur Mittal,Anurag Arora,https://www.imdb.com/find?q=Maatr
Maazii,2013,123,"Crime, Drama, Thriller",5.8,94,Jaideep Chopra,Sumit Nijhawan,Mona Wasu,Mohd. Zeeshan Ayyub,https://www.imdb.com/find?q=Maazii
Machaan,2021,124,"Drama, Romance",8.6,93,Nitesh Tiwari,Pawan Waval,Richa Kalra,Prateek Goyal,https://www.imdb.com/find?q=Machaan
Machhli Jal Ki Rani Hai,2014,120,Horror,2.3,235,Debaloy Dey,Swara Bhaskar,Reema Debnath,Saurabh Dubey,https://www.imdb.com/find?q=Machhli%20Jal%20Ki%20Rani%20Hai
Machine,2017,148,"Action, Mystery, Romance",2.7,761,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Kiara Advani,Rishabh Arora,https://www.imdb.com/find?q=Machine
Madaari,2016,133,"Adventure, Drama, Thriller",7.6,13676,Nishikant Kamat,Irrfan Khan,Jimmy Sheirgill,Vishesh Bansal,https://www.imdb.com/find?q=Madaari
Madam Chief Minister,2021,130,Drama,4.6,1383,Subhash Kapoor,Richa Chadha,Manav Kaul,Saurabh Shukla,https://www.imdb.com/find?q=Madam%20Chief%20Minister
Madam X,1994,119,"Action, Crime, Drama",3.7,77,Deepak S. Shivdasani,Rekha,Mohsin Khan,Shakti Kapoor,https://www.imdb.com/find?q=Madam%20X
Madari,1959,124,"Action, Fantasy",5.3,17,Babubhai Mistry,Chitra,Ranjan,Manher Desai,https://www.imdb.com/find?q=Madari
Made in China,2019,128,"Comedy, Drama",6.2,3845,Mikhil Musale,Rajkummar Rao,Boman Irani,Mouni Roy,https://www.imdb.com/find?q=Made%20in%20China
Madholal Keep Walking,2009,121,"Comedy, Drama",6.2,112,Jai Tank,Subrat Dutta,Neela Gokhle,Pranay Narayan,https://www.imdb.com/find?q=Madholal%20Keep%20Walking
Madhosh,1974,133,"Drama, Musical, Romance",6.3,253,Desh Gautam,Mahendra Sandhu,Reena Roy,Rakesh Roshan,https://www.imdb.com/find?q=Madhosh
Madhoshi,2004,122,"Musical, Mystery, Drama",4.6,395,Tanveer Khan,Bipasha Basu,John Abraham,Priyanshu Chatterjee,https://www.imdb.com/find?q=Madhoshi
Madhubaala,2006,133,Thriller,3.2,9,Shivram Yadav,Sameer Dharmadhikari,Gurpreet kaur Sodhi,Gurpreet Singh,https://www.imdb.com/find?q=Madhubaala
Madhumati,1958,110,"Fantasy, Musical, Mystery",8.0,1273,Bimal Roy,Dilip Kumar,Vyjayanthimala,Johnny Walker,https://www.imdb.com/find?q=Madhumati
