Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
Dead Morning,2016,126,"Comedy, Thriller",6.4,10,Prashant Passy Pilley,Manisha Chauhan,Nidhi Gupta,Saurabh Kishore,https://www.imdb.com/find?q=Dead%20Morning
Deadline: Sirf 24 Ghante,2006,102,"Crime, Thriller",6.3,585,Tanveer Khan,Rajit Kapoor,Konkona Sen Sharma,Jhanak Shukla,https://www.imdb.com/find?q=Deadline:%20Sirf%2024%20Ghante
Dear Dad,2016,95,"Drama, Family",6.3,384,Tanuj Bhramar,Arvind Swamy,Ekavali Khanna,Himanshu Sharma,https://www.imdb.com/find?q=Dear%20Dad
Dear Maya,2017,111,"Drama, Romance",5.8,390,Sunaina Bhatnagar,Manisha Koirala,Madiha Imam,Shreya Chaudhary,https://www.imdb.com/find?q=Dear%20Maya
Dear Molly,2018,91,Drama,7.8,10,Gajendra Ahire,Alok Rajwade,Mrinmayee Godbole,Gurbani Gill,https://www.imdb.com/find?q=Dear%20Molly
Dear Vs Bear,2014,145,"Adventure, Thriller",6.6,18,Sanjeev Vedwan,Uttar Kumar,Kavita Joshi,Manoj Bakshi,https://www.imdb.com/find?q=Dear%20Vs%20Bear
Dear Zindagi,2016,151,"Drama, Romance",7.5,37149,Gauri Shinde,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor,https://www.imdb.com/find?q=Dear%20Zindagi
Debshishu,1987,100,Drama,7.5,22,Utpalendu Chakrabarty,Bijoy Dey,Noni Ganguly,Rohini Hattangadi,https://www.imdb.com/find?q=Debshishu
Dedh Ishqiya,2014,152,"Comedy, Drama, Romance",7.1,6978,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi,https://www.imdb.com/find?q=Dedh%20Ishqiya
Deedar,1992,130,"Drama, Romance",4.3,578,Pramod Chakravorty,Akshay Kumar,Karisma Kapoor,Laxmikant Berde,https://www.imdb.com/find?q=Deedar
Deedar,1951,130,"Musical, Romance",7.6,198,Nitin Bose,Nargis,Ashok Kumar,Dilip Kumar,https://www.imdb.com/find?q=Deedar
Deewaanapan,2001,153,"Action, Romance",4.6,418,Ashu Trikha,Arjun Rampal,Dia Mirza,Vinod Khanna,https://www.imdb.com/find?q=Deewaanapan
Deewaangee,1976,168,"Action, Crime, Drama",6.5,40,Samir Ganguly,Shashi Kapoor,Zeenat Aman,Ranjeet,https://www.imdb.com/find?q=Deewaangee
Deewaar,1975,174,"Action, Crime, Drama",8.1,10361,Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Nirupa Roy,https://www.imdb.com/find?q=Deewaar
Deewana,1992,185,"Action, Comedy, Crime",6.9,6298,Raj Kanwar,Rishi Kapoor,Divya Bharti,Shah Rukh Khan,https://www.imdb.com/find?q=Deewana
Deewana Main Deewana,2013,130,"Comedy, Drama, Romance",2.4,339,K.C. Bokadia,Govinda,Priyanka Chopra Jonas,Nasir Khan,https://www.imdb.com/find?q=Deewana%20Main%20Deewana
Deewana Mastana,1997,140,"Comedy, Romance",6.7,2488,David Dhawan,Anil Kapoor,Govinda,Juhi Chawla,https://www.imdb.com/find?q=Deewana%20Mastana
Deewana Mujh Sa Nahin,1990,130,"Romance, Comedy, Drama",5.7,953,Y. Nageswara Rao,M. Parvez,Aamir Khan,Madhuri Dixit,https://www.imdb.com/find?q=Deewana%20Mujh%20Sa%20Nahin
Deewana Tere Naam Ka,1987,97,"Drama, Romance",5.0,25,Deepak Bahry,Mithun Chakraborty,Vijayata Pandit,Danny Denzongpa,https://www.imdb.com/find?q=Deewana%20Tere%20Naam%20Ka
Deewane,2000,164,"Action, Romance",4.7,587,Harry Baweja,Ajay Devgn,Urmila Matondkar,Mahima Chaudhry,https://www.imdb.com/find?q=Deewane
Deewane Huye Paagal,2005,158,"Action, Comedy, Drama",5.3,4622,Vikram Bhatt,Shahid Kapoor,Akshay Kumar,Sunil Shetty,https://www.imdb.com/find?q=Deewane%20Huye%20Paagal
Deewangee,2002,169,"Crime, Drama, Mystery",6.6,2620,Anees Bazmee,Ajay Devgn,Akshaye Khanna,Urmila Matondkar,https://www.imdb.com/find?q=Deewangee
Deha,2007,126,Romance,6.4,66,Mahesh Manjrekar,Mahesh Manjrekar,Jaya Prada,Supriya Karnik,https://www.imdb.com/find?q=Deha
Dekh Bhai Dekh: Laughter Behind Darkness,2009,105,"Comedy, Crime, Drama",4.5,26,Rahat Kazmi,Gracy Singh,Siddharth Koirala,Raghuvir Yadav,https://www.imdb.com/find?q=Dekh%20Bhai%20Dekh:%20Laughter%20Behind%20Darkness
Dekh Kabira Roya,1957,141,"Comedy, Romance",7.4,29,Amiya Chakrabarty,Anita Guha,Anoop Kumar,Jawahar Kaul,https://www.imdb.com/find?q=Dekh%20Kabira%20Roya
Dekh Tamasha Dekh,2014,110,Comedy,6.1,284,Feroz Abbas Khan,Satish Kaushik,Tanvi Azmi,Vinay Jain,https://www.imdb.com/find?q=Dekh%20Tamasha%20Dekh
Dekha Pyar Tumhara,1985,138,"Comedy, Drama",5.6,38,Virendra Sharma,Kamal Haasan,Rati Agnihotri,Deven Verma,https://www.imdb.com/find?q=Dekha%20Pyar%20Tumhara
Delhi 47 KM,2018,98,Drama,5.9,24,Shadab Khan,Shadab Khan,Shadab Khan,Shadab Khan,https://www.imdb.com/find?q=Delhi%2047%20KM
Delhi Belly,2011,103,"Action, Comedy, Crime",7.6,28299,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das,https://www.imdb.com/find?q=Delhi%20Belly
Delhi in a Day,2011,88,"Comedy, Drama",6.2,395,Prashant Nair,Victor Banerjee,Siddharth Bhardwaj,Vidya Bhushan,https://www.imdb.com/find?q=Delhi%20in%20a%20Day
Delhi Safari,2012,96,"Animation, Adventure, Comedy",5.6,1631,Nikkhil Advani,Govinda,Akshaye Khanna,Urmila Matondkar,https://www.imdb.com/find?q=Delhi%20Safari
Delhi-6,2009,141,Drama,6.1,7256,Rakeysh Omprakash Mehra,Waheeda Rehman,Abhishek Bachchan,Sonam Kapoor,https://www.imdb.com/find?q=Delhi-6
Delinquent Dancers,2012,94,Music,5.9,48,Samit Kakkad,Akhilesh,Sulabha Arya,Raqesh Bapat,https://www.imdb.com/find?q=Delinquent%20Dancers
Department,2012,141,"Action, Crime, Thriller",3.1,965,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu,https://www.imdb.com/find?q=Department
Desamuduru,2007,148,"Action, Drama, Romance",6.2,1608,Puri Jagannadh,Allu Arjun,Hansika Motwani,Pradeep Singh Rawat,https://www.imdb.com/find?q=Desamuduru
Desh,2002,130,Drama,4.9,50,Raja Sen,Jaya Bachchan,Sabyasachi Chakrabarty,Subhendu Chatterjee,https://www.imdb.com/find?q=Desh
Desh Drohee,1980,158,Action,5.5,11,Prakash Mehra,Saira Banu,Navin Nischol,Rakesh Pandey,https://www.imdb.com/find?q=Desh%20Drohee
Desh Drohi,2008,140,"Action, Thriller",1.4,3899,Jagdish A. Sharma,Kamal Rashid Khan,Gracy Singh,Hrishitaa Bhatt,https://www.imdb.com/find?q=Desh%20Drohi
Desh Premee,1982,165,"Action, Comedy, Drama",6.0,536,Manmohan Desai,Amitabh Bachchan,Hema Malini,Navin Nischol,https://www.imdb.com/find?q=Desh%20Premee
Deshwasi,1991,145,"Action, Crime, Drama",3.6,12,Rajiv Goswami,Tom Alter,Mahesh Bhatt,Poonam Dhillon,https://www.imdb.com/find?q=Deshwasi
Desi Boyz,2011,122,"Comedy, Drama",5.7,13203,Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone,https://www.imdb.com/find?q=Desi%20Boyz
Desi Kattey,2014,139,Action,4.0,126,Kumar Anand,Akhil Kapur,Tia Bajpai,Jay Bhanushali,https://www.imdb.com/find?q=Desi%20Kattey
Detective,1958,114,Mystery,6.4,15,Shakti Samanta,Pradeep Kumar,Mala Sinha,Johnny Walker,https://www.imdb.com/find?q=Detective
Detective Byomkesh Bakshy!,2015,139,"Action, Crime, Drama",7.7,21107,Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi,https://www.imdb.com/find?q=Detective%20Byomkesh%20Bakshy!
Detective Naani,2009,140,"Crime, Drama, Family",6.2,76,Romilla Mukherjee,Ava Mukherjee,Zain Khan,Simran Singh,https://www.imdb.com/find?q=Detective%20Naani
Dev,2004,172,Drama,6.9,1332,Govind Nihalani,Amitabh Bachchan,Om Puri,Fardeen Khan,https://www.imdb.com/find?q=Dev
Dev.D,2009,144,"Drama, Romance",8.0,29283,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,https://www.imdb.com/find?q=Dev.D
Devaki,2005,87,Drama,4.2,31,Bappaditya Bandopadhyay,Ram Kapoor,Suman Ranganath,Arvin Tucker,https://www.imdb.com/find?q=Devaki
Devar,1966,156,"Crime, Drama, Romance",7.2,81,Mohan Segal,Dharmendra,Sharmila Tagore,Shashikala,https://www.imdb.com/find?q=Devar
Devata,1978,148,"Drama, Family",7.1,50,S. Ramanathan,Sanjeev Kumar,Shabana Azmi,Rakesh Roshan,https://www.imdb.com/find?q=Devata
Devdas,2002,185,"Drama, Musical, Romance",7.6,39573,Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit,https://www.imdb.com/find?q=Devdas
Devdas,1936,139,"Drama, Romance",6.2,91,P.C. Barua,K.L. Saigal,A.H. Shore,Pahadi Sanyal,https://www.imdb.com/find?q=Devdas
Devdas,1955,159,"Drama, Musical, Romance",7.9,1731,Bimal Roy,Dilip Kumar,Suchitra Sen,Vyjayanthimala,https://www.imdb.com/find?q=Devdas
Devi Ahilya Bai,2002,146,"Biography, Drama, History",6.6,17,Jayoo,Natiker,Sadashiv Amrapurkar,Shabana Azmi,https://www.imdb.com/find?q=Devi%20Ahilya%20Bai
Devi Aur Hero,2019,117,Drama,7.8,15,Aditya Kripalani,Ahmareen Anjum,Chitrangada Chakraborty,Vibhawari Deshpande,https://www.imdb.com/find?q=Devi%20Aur%20Hero
Devi Putrudu,2004,161,"Action, Drama, Fantasy",5.8,260,Kodi Ramakrishna,Venkatesh Daggubati,Anjala Zaveri,Soundarya,https://www.imdb.com/find?q=Devi%20Putrudu
Devil (Maupassant's Le Diable),2019,79,Drama,5.2,16,Kshitij Sharma,Kshitij Sharma,Anoma Pabuwal,Deeya Dey,https://www.imdb.com/find?q=Devil%20(Maupassant's%20Le%20Diable)
Devil's Daughter,2019,89,"Comedy, Drama, Fantasy",2.6,172,Ghorban Mohammadpour,Hamid Farokhnezhad,Esha Gupta,Jackie Shroff,https://www.imdb.com/find?q=Devil's%20Daughter
Devta,1956,178,"Adventure, Drama",5.7,16,Pattanna,Vyjayanthimala,Anjali Devi,Gemini Ganesan,https://www.imdb.com/find?q=Devta
Devta,1998,177,Action,3.5,21,Jagdish A. Sharma,Arun Bakshi,Mithun Chakraborty,Mushtaq Khan,https://www.imdb.com/find?q=Devta
Dhaad,2018,135,Action,5.5,13,Paresh Naik,Sameera Awasthi,Nandita Das,Sandeep Kulkarni,https://www.imdb.com/find?q=Dhaad
Dhaai Akshar Prem Ke,2000,167,"Drama, Romance",3.7,1313,Raj Kanwar,Abhishek Bachchan,Aishwarya Rai Bachchan,Amrish Puri,https://www.imdb.com/find?q=Dhaai%20Akshar%20Prem%20Ke
Dhaal: The Battle of Law Against Law,1997,148,"Action, Drama",5.1,68,Sameer Malkan,Vinod Khanna,Sunil Shetty,Gautami,https://www.imdb.com/find?q=Dhaal:%20The%20Battle%20of%20Law%20Against%20Law
Dhadak,2018,138,"Drama, Romance",4.5,9399,Shashank Khaitan,Janhvi Kapoor,Ishaan Khattar,Ashutosh Rana,https://www.imdb.com/find?q=Dhadak
Dhadkan,2000,161,"Drama, Romance",6.5,6953,Dharmesh Darshan,Akshay Kumar,Shilpa Shetty Kundra,Sunil Shetty,https://www.imdb.com/find?q=Dhadkan
Dhadkanein,2006,146,"Action, Crime, Drama",4.4,12,Imran Khalid,Attin Bhalla,Preeti,Harsh Chhaya,https://www.imdb.com/find?q=Dhadkanein
Dhamaal,2007,136,"Action, Adventure, Comedy",7.3,13878,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi,https://www.imdb.com/find?q=Dhamaal
Dhamkee,1973,132,"Action, Crime, Drama",5.4,14,Kalpataru,Vinod Khanna,Kumkum,Mehmood Jr.,https://www.imdb.com/find?q=Dhamkee
Dhan Daulat,1980,146,Drama,6.5,57,Harish Shah,Rishi Kapoor,Neetu Singh,Pran,https://www.imdb.com/find?q=Dhan%20Daulat
Dhan Dhana Dhan Goal,2007,167,"Drama, Sport",5.0,2410,Vivek Agnihotri,John Abraham,Arshad Warsi,Bipasha Basu,https://www.imdb.com/find?q=Dhan%20Dhana%20Dhan%20Goal
Dhanwaan,1993,123,"Comedy, Drama, Romance",3.4,252,K. Viswanath,Ajay Devgn,Manisha Koirala,Karisma Kapoor,https://www.imdb.com/find?q=Dhanwaan
Dhanwan,1981,152,"Crime, Drama, Family",7.3,55,Surendra Mohan,Rajesh Khanna,Reena Roy,Rakesh Roshan,https://www.imdb.com/find?q=Dhanwan
Dhara,2008,95,"Drama, Romance",4.3,11,Masud Mirza,Sudhanshu Pandey,Hrishitaa Bhatt,Anuj Punj,https://www.imdb.com/find?q=Dhara
Dhara 302,2016,148,Drama,4.4,16,Jitendra Singh Naruka,Muntazir Ahmad,Dipti Dhotre,Dipti,https://www.imdb.com/find?q=Dhara%20302
Dharam Karam,1975,159,"Family, Drama",6.0,140,Randhir Kapoor,Raj Kapoor,Randhir Kapoor,Rekha,https://www.imdb.com/find?q=Dharam%20Karam
Dharam Sankat,1991,155,"Action, Drama",3.5,21,N.D. Kothari,Vinod Khanna,Amrita Singh,Sahila Chaddha,https://www.imdb.com/find?q=Dharam%20Sankat
Dharam Sankat Mein,2015,129,Comedy,6.3,2118,Fuwad Khan,Naseeruddin Shah,Paresh Rawal,Annu Kapoor,https://www.imdb.com/find?q=Dharam%20Sankat%20Mein
Dharam Veer,1977,165,"Action, Adventure, Comedy",6.7,715,Manmohan Desai,Dharmendra,Zeenat Aman,Jeetendra,https://www.imdb.com/find?q=Dharam%20Veer
Dharavi,1992,120,"Crime, Drama",7.0,289,Sudhir Mishra,Somesh Agarwal,Shabana Azmi,Pramod Bala,https://www.imdb.com/find?q=Dharavi
Dharm Adhikari,1986,159,"Action, Comedy, Drama",5.8,94,K. Raghavendra Rao,M. Madhusudhana Rao,Dilip Kumar,Jeetendra,https://www.imdb.com/find?q=Dharm%20Adhikari
Dharma Karma,1997,128,"Action, Drama",5.8,34,Ravi Varma,Gajendra Chauhan,Dan Dhanoa,Dharmendra,https://www.imdb.com/find?q=Dharma%20Karma
Dharmatma,1975,163,"Action, Romance, Thriller",6.7,295,Feroz Khan,Prem Nath,Feroz Khan,Hema Malini,https://www.imdb.com/find?q=Dharmatma
Dharmputra,1961,150,Drama,7.3,87,Yash Chopra,Mala Sinha,Shashi Kapoor,Rehman,https://www.imdb.com/find?q=Dharmputra
Dharti,2011,126,"Crime, Drama, Thriller",7.0,357,Navaniat Singh,Jimmy Sheirgill,Surveen Chawla,Japji Khaira,https://www.imdb.com/find?q=Dharti
Dharti Ke Lal,1950,125,"Drama, History",6.4,16,Khwaja Ahmad Abbas,Rashid Ahmed,Hameed Butt,Usha Dutta,https://www.imdb.com/find?q=Dharti%20Ke%20Lal
Dhh,2017,128,"Drama, Family",7.8,235,Manish Saini,Naseeruddin Shah,Kahaan,Karan Patel,https://www.imdb.com/find?q=Dhh
Dhill,2001,158,"Action, Drama",7.0,810,Dharani,Vikram,Laila,Ashish Vidyarthi,https://www.imdb.com/find?q=Dhill
Dhira,2020,117,Animation,6.5,388,Arun Kumar Rapolu,Vivek Oberoi,Vijay Sethupathi,Sai Srinivas Bellamkonda,https://www.imdb.com/find?q=Dhira
Dhobi Ghat,2010,100,Drama,7.0,12695,Kiran Rao,Prateik,Monica Dogra,Kriti Malhotra,https://www.imdb.com/find?q=Dhobi%20Ghat
Dhokha,2007,117,"Action, Drama, Romance",6.2,455,Pooja Bhatt,Muzamil Ibrahim,Tulip Joshi,Aushima Sawhney,https://www.imdb.com/find?q=Dhokha
Dhol,2007,145,"Comedy, Crime, Mystery",6.3,5501,Priyadarshan,Aman Ullah,Sharman Joshi,Tusshar Kapoor,https://www.imdb.com/find?q=Dhol
Dholak,1951,155,"Comedy, Romance",6.3,6,Roop K. Shorey,Ajit,Meena Shorey,Shyamlal,https://www.imdb.com/find?q=Dholak
Dhongee,1979,122,"Action, Comedy, Drama",4.5,22,Ashok Roy,Randhir Kapoor,Neetu Singh,Asrani,https://www.imdb.com/find?q=Dhongee
Dhool Ka Phool,1959,153,Drama,6.7,158,Yash Chopra,Mala Sinha,Rajendra Kumar,Nanda,https://www.imdb.com/find?q=Dhool%20Ka%20Phool
Dhoom,2004,129,"Action, Crime, Drama",6.7,18768,Sanjay Gadhvi,Abhishek Bachchan,John Abraham,Uday Chopra,https://www.imdb.com/find?q=Dhoom
Dhoom 2,2006,152,"Action, Crime, Thriller",6.5,24610,Sanjay Gadhvi,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan,https://www.imdb.com/find?q=Dhoom%202
Dhoom 3,2013,172,"Action, Crime, Thriller",5.4,43831,Vijay Krishna Acharya,Aamir Khan,Katrina Kaif,Abhishek Bachchan,https://www.imdb.com/find?q=Dhoom%203
Dhoom Dadakka,2008,128,"Comedy, Crime, Drama",3.4,87,Shashi Ranjan,Jackie Shroff,Anupam Kher,Satish Shah,https://www.imdb.com/find?q=Dhoom%20Dadakka
Dhoondte Reh Jaoge,2009,131,"Comedy, Drama",5.6,751,Umesh Shukla,Paresh Rawal,Kunal Khemu,Sonu Sood,https://www.imdb.com/find?q=Dhoondte%20Reh%20Jaoge
Dhoop,2003,126,Drama,7.2,242,Ashwini Chaudhary,Om Puri,Revathi,Gul Panag,https://www.imdb.com/find?q=Dhoop
Dhoti Lota Aur Chowpatty,1975,139,Comedy,4.5,19,Mohan Choti,Bindu,Laxmi Chhaya,Mohan Choti,https://www.imdb.com/find?q=Dhoti%20Lota%20Aur%20Chowpatty
Dhruvanakshatram,1989,147,"Action, Drama",8.1,90,Y. Nageswara Rao,Mohan Babu,Brahmanandam,Venkatesh Daggubati,https://www.imdb.com/find?q=Dhruvanakshatram
Dhuan,1981,152,Drama,7.2,78,Dulal Guha,Rakhee Gulzar,Mithun Chakraborty,Ranjeeta Kaur,https://www.imdb.com/find?q=Dhuan
Dhumm,2002,139,"Action, Drama, Family",6.9,58,M.S. Ramesh,Sudeep,Rakshitha,Srinath,https://www.imdb.com/find?q=Dhumm
Dhund,1973,130,"Drama, Mystery, Thriller",7.2,529,B.R. Chopra,Navin Nischol,Zeenat Aman,Sanjay Khan,https://www.imdb.com/find?q=Dhund
Dhund: The Fog,2003,153,"Adventure, Horror, Mystery",2.4,247,Shyam Ramsay,Amar Upadhyay,Aditi Govitrikar,Apoorva Agnihotri,https://www.imdb.com/find?q=Dhund:%20The%20Fog
Dhuusar,2019,106,"Biography, Crime, Drama",8.9,47,Snehashish Mondal,Soumi Saha,Arpita Banerjee,Ritwik Bhowmik,https://www.imdb.com/find?q=Dhuusar
Dial 100,1982,145,"Action, Crime, Drama",6.1,17,S. Ramanathan,Ashok Kumar,Vinod Mehra,Bindiya Goswami,https://www.imdb.com/find?q=Dial%20100
Diamond Queen,1940,155,"Action, Adventure",6.1,31,Homi Wadia,Fearless Nadia,Radharani,Nazira,https://www.imdb.com/find?q=Diamond%20Queen
Diary of a Butterfly,2012,97,Drama,3.6,88,Vinod Mukhi,Udita Goswami,Sofia Hayat,Ronny Jhutti,https://www.imdb.com/find?q=Diary%20of%20a%20Butterfly
Didi,1989,59,"Drama, Family",7.6,7,Tapan Sinha,Gyanesh Mukherjee,Deepti Naval,Ritesh Talwar,https://www.imdb.com/find?q=Didi
Diksha,1991,120,Drama,7.0,170,Arun Kaul,Sulabha Arya,Vijay Kashyap,Anubhav Mishra,https://www.imdb.com/find?q=Diksha
Dil,1990,172,"Comedy, Drama, Romance",6.7,5017,Indra Kumar,Aamir Khan,Madhuri Dixit,Saeed Jaffrey,https://www.imdb.com/find?q=Dil
Dil Aashna Hai (...The Heart Knows),1992,164,"Drama, Romance",5.0,1536,Hema Malini,Jeetendra,Mithun Chakraborty,Dimple Kapadia,https://www.imdb.com/find?q=Dil%20Aashna%20Hai%20(...The%20Heart%20Knows)
Dil Aur Deewaar,1978,156,"Action, Crime, Drama",5.5,30,K. Bapaiah,Jeetendra,Moushumi Chatterjee,Rakesh Roshan,https://www.imdb.com/find?q=Dil%20Aur%20Deewaar
Dil Aur Mohabbat,1968,137,Action,6.1,20,Anand Dutta,Ashok Kumar,Joy Mukherjee,Sharmila Tagore,https://www.imdb.com/find?q=Dil%20Aur%20Mohabbat
Dil Bechara,2020,101,"Comedy, Drama, Romance",6.6,117377,Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,https://www.imdb.com/find?q=Dil%20Bechara
Dil Bole Hadippa!,2009,148,"Comedy, Drama, Romance",4.6,3902,Anurag Singh,Shahid Kapoor,Rani Mukerji,Anupam Kher,https://www.imdb.com/find?q=Dil%20Bole%20Hadippa!
Dil Chahta Hai,2001,183,"Comedy, Drama, Romance",8.1,68138,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,https://www.imdb.com/find?q=Dil%20Chahta%20Hai
Dil Deke Dekho,1959,187,"Musical, Romance",7.0,146,Nasir Hussain,Shammi Kapoor,Asha Parekh,Sulochana Latkar,https://www.imdb.com/find?q=Dil%20Deke%20Dekho
Dil Dhadakne Do,2015,170,"Comedy, Drama, Romance",6.9,15722,Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas,https://www.imdb.com/find?q=Dil%20Dhadakne%20Do
Dil Diwana,1974,134,"Comedy, Romance",6.2,33,Narendra Bedi,Randhir Kapoor,Jaya Bachchan,Satyendra Kapoor,https://www.imdb.com/find?q=Dil%20Diwana
Dil Diya Dard Liya,1966,169,"Drama, Musical, Romance",6.4,119,Abdul Rashid Kardar,Dilip Kumar,Dilip Kumar,Waheeda Rehman,https://www.imdb.com/find?q=Dil%20Diya%20Dard%20Liya
Dil Diya Hai,2006,121,"Drama, Romance, Thriller",3.5,473,Aditya Datt,Emraan Hashmi,Ashmit Patel,Geeta Basra,https://www.imdb.com/find?q=Dil%20Diya%20Hai
Dil Dosti Etc,2007,112,"Comedy, Crime, Drama",7.0,2793,Manish Tiwary,Imaaduddin Shah,Shreyas Talpade,Smriti Mishra,https://www.imdb.com/find?q=Dil%20Dosti%20Etc
Dil Ek Mandir,1963,148,"Drama, Musical, Romance",6.7,129,C.V. Sridhar,Meena Kumari,Rajendra Kumar,Raaj Kumar,https://www.imdb.com/find?q=Dil%20Ek%20Mandir
Dil Hai Betaab,1993,157,"Action, Drama, Romance",3.1,114,K.C. Bokadia,Vivek Mushran,Ajay Devgn,Pratibha Sinha,https://www.imdb.com/find?q=Dil%20Hai%20Betaab
Dil Hai Ki Manta Nahin,1991,154,"Adventure, Comedy, Drama",7.3,4087,Mahesh Bhatt,Aamir Khan,Pooja Bhatt,Anupam Kher,https://www.imdb.com/find?q=Dil%20Hai%20Ki%20Manta%20Nahin
Dil Hai Tumhaara,2002,185,"Drama, Romance",5.3,1720,Kundan Shah,Arjun Rampal,Preity Zinta,Mahima Chaudhry,https://www.imdb.com/find?q=Dil%20Hai%20Tumhaara
Dil Hi To Hai,1963,128,"Comedy, Drama, Romance",7.1,122,C.L. Rawal,P.L. Santoshi,Raj Kapoor,Nutan,https://www.imdb.com/find?q=Dil%20Hi%20To%20Hai
Dil Hi To Hai,1992,164,"Drama, Romance",5.1,102,Asrani,Divya Bharti,Gulshan Grover,Amjad Khan,https://www.imdb.com/find?q=Dil%20Hi%20To%20Hai
Dil Jo Bhi Kahey...,2005,144,"Drama, Romance",4.6,332,Romesh Sharma,Amitabh Bachchan,Revathi,Karan Sharma,https://www.imdb.com/find?q=Dil%20Jo%20Bhi%20Kahey...
Dil Jo Na Keh Saka,2017,130,Romance,5.3,103,Naresh Lalwani,Himansh Kohli,Priya Banerjee,Bhuvnesh Mann,https://www.imdb.com/find?q=Dil%20Jo%20Na%20Keh%20Saka
Dil Juunglee,2018,124,"Comedy, Romance",3.7,417,Aleya Sen,Taapsee Pannu,Saqib Saleem,Nidhi Singh,https://www.imdb.com/find?q=Dil%20Juunglee
Dil Ka Kya Kasoor,1992,157,"Musical, Romance",5.7,191,Lawrence D'Souza,Prithvi,Divya Bharti,Sanam,https://www.imdb.com/find?q=Dil%20Ka%20Kya%20Kasoor
Dil Ka Rishta,2003,150,"Drama, Musical, Romance",4.8,1615,Naresh Malhotra,Arjun Rampal,Aishwarya Rai Bachchan,Priyanshu Chatterjee,https://www.imdb.com/find?q=Dil%20Ka%20Rishta
Dil Ka Sauda,2014,136,"Action, Crime, Drama",5.3,6,Lalji B. Yadav,Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor,https://www.imdb.com/find?q=Dil%20Ka%20Sauda
Dil Kabaddi,2008,120,"Comedy, Drama",5.7,653,Anil Senior,Irrfan Khan,Rahul Bose,Rahul Khanna,https://www.imdb.com/find?q=Dil%20Kabaddi
Dil Ke Pechey Pechey',2005,110,"Drama, Thriller",4.9,12,Gopal Malhotra,Ashutosh Rana,Divya Dutta,Abbas,https://www.imdb.com/find?q=Dil%20Ke%20Pechey%20Pechey'
Dil Ki Baazi,1993,162,"Action, Drama",5.3,494,Anil Ganguly,Rakhee Gulzar,Avinash Wadhawan,Akshay Kumar,https://www.imdb.com/find?q=Dil%20Ki%20Baazi
Dil Kya Kare,1999,158,"Drama, Musical, Romance",5.1,1102,Prakash Jha,Ajay Devgn,Mahima Chaudhry,Kajol,https://www.imdb.com/find?q=Dil%20Kya%20Kare
Dil Maange More!!!,2004,123,"Musical, Romance",5.2,1808,Ananth Narayan Mahadevan,Shahid Kapoor,Ayesha Takia,Tulip Joshi,https://www.imdb.com/find?q=Dil%20Maange%20More!!!
Dil Ne Jise Apna Kaha,2004,135,"Drama, Romance",4.4,1716,Atul Agnihotri,Salman Khan,Preity Zinta,Bhoomika Chawla,https://www.imdb.com/find?q=Dil%20Ne%20Jise%20Apna%20Kaha
Dil Ne Pukara,1967,173,"Drama, Romance",7.0,28,Mohan J. Bijlani,Shashi Kapoor,Sanjay Khan,Rajshree,https://www.imdb.com/find?q=Dil%20Ne%20Pukara
Dil Pardesi Ho Gayaa,2003,150,"Romance, Drama",4.8,91,Saawan Kumar Tak,Kapil Jhaveri,Saloni Aswani,Amrish Puri,https://www.imdb.com/find?q=Dil%20Pardesi%20Ho%20Gayaa
Dil Pe Mat Le Yaar!!,2000,148,Drama,5.0,213,Hansal Mehta,Manoj Bajpayee,Tabu,Saurabh Shukla,https://www.imdb.com/find?q=Dil%20Pe%20Mat%20Le%20Yaar!!
Dil Sala Sanki,2016,110,Romance,5.0,21,Sushikailash,Shagufta Ali,Hrishitaa Bhatt,Avtar Gill,https://www.imdb.com/find?q=Dil%20Sala%20Sanki
Dil Se..,1998,163,"Drama, Romance",7.6,27393,Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta,https://www.imdb.com/find?q=Dil%20Se..
Dil Tera Aashiq,1993,151,"Comedy, Drama, Romance",5.1,720,Lawrence D'Souza,Madhuri Dixit,Salman Khan,Kader Khan,https://www.imdb.com/find?q=Dil%20Tera%20Aashiq
